11:22:30.260 -> Flow rate: 0L/min	Output Liquid Quantity: 0mL
11:38:47.850 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:48.865 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:49.863 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:50.890 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:51.857 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:52.881 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:53.881 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:54.888 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:55.895 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:56.915 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:57.901 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:58.905 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:59.930 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:00.898 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:01.930 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:02.908 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:03.930 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:04.968 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:05.946 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:06.929 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:07.950 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:08.971 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:09.947 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:10.947 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:11.954 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:12.987 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:14.003 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:14.980 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:16.009 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:16.992 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:18.014 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:19.004 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:19.999 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:21.023 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:22.173 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:23.033 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:24.031 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:25.043 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:26.028 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:27.045 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:28.037 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:29.057 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:30.063 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:31.043 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:32.077 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:33.058 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:34.057 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:35.077 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:36.070 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:37.073 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:38.072 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:39.084 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:40.117 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:41.104 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:42.100 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:43.095 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:44.100 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:45.126 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:46.126 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:47.121 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:48.145 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:49.156 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:50.145 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:51.140 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:52.169 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:53.179 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:54.152 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:55.150 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:56.175 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:57.189 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:58.190 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:39:59.208 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:00.210 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:01.226 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:02.220 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:03.213 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:04.203 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:05.223 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:06.226 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:07.216 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:08.253 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:09.257 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:10.244 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:11.242 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:12.262 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:13.271 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:40:14.242 -> 	28LFlow rate: 6L/min	Output Liquid Quantity: 28890mL
11:40:15.246 -> 	28LFlow rate: 11L/min	Output Liquid Quantity: 29075mL
11:40:16.267 -> 	29LFlow rate: 10L/min	Output Liquid Quantity: 29256mL
11:40:17.272 -> 	29LFlow rate: 11L/min	Output Liquid Quantity: 29441mL
11:40:18.260 -> 	29LFlow rate: 10L/min	Output Liquid Quantity: 29622mL
11:40:19.284 -> 	29LFlow rate: 10L/min	Output Liquid Quantity: 29803mL
11:40:20.305 -> 	29LFlow rate: 10L/min	Output Liquid Quantity: 29984mL
11:40:21.284 -> 	29LFlow rate: 10L/min	Output Liquid Quantity: 30165mL
11:40:22.309 -> 	30LFlow rate: 10L/min	Output Liquid Quantity: 30346mL
11:40:23.327 -> 	30LFlow rate: 11L/min	Output Liquid Quantity: 30531mL
11:40:24.331 -> 	30LFlow rate: 10L/min	Output Liquid Quantity: 30712mL
11:40:25.322 -> 	30LFlow rate: 10L/min	Output Liquid Quantity: 30893mL
11:40:26.342 -> 	30LFlow rate: 10L/min	Output Liquid Quantity: 31074mL
11:40:27.319 -> 	31LFlow rate: 11L/min	Output Liquid Quantity: 31259mL
11:40:28.335 -> 	31LFlow rate: 11L/min	Output Liquid Quantity: 31444mL
11:40:29.356 -> 	31LFlow rate: 10L/min	Output Liquid Quantity: 31625mL
11:40:30.326 -> 	31LFlow rate: 10L/min	Output Liquid Quantity: 31806mL
11:40:31.345 -> 	31LFlow rate: 11L/min	Output Liquid Quantity: 31991mL
11:40:32.349 -> 	31LFlow rate: 10L/min	Output Liquid Quantity: 32168mL
11:40:33.347 -> 	32LFlow rate: 11L/min	Output Liquid Quantity: 32353mL
11:40:34.341 -> 	32LFlow rate: 11L/min	Output Liquid Quantity: 32538mL
11:40:35.348 -> 	32LFlow rate: 9L/min	Output Liquid Quantity: 32700mL
11:40:36.352 -> 	32LFlow rate: 2L/min	Output Liquid Quantity: 32740mL
11:40:37.347 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:38.385 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:39.402 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:40.397 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:41.383 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:42.417 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:43.421 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:44.389 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:45.414 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:46.394 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:47.427 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:48.427 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:49.437 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:50.450 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:51.411 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:52.457 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:53.444 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:54.431 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:55.433 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:56.473 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:57.458 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:58.476 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:40:59.449 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:00.488 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:01.476 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:02.466 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:03.482 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:04.512 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:05.507 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:06.482 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:07.505 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:08.521 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:09.513 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:10.523 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:11.512 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:12.526 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:13.526 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:14.549 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:15.524 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:16.559 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:17.539 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:18.584 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:19.555 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:20.576 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:21.557 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:22.594 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:23.590 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:24.577 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:25.604 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:26.577 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:27.598 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:28.604 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:29.605 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:30.598 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:31.633 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:32.609 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:33.633 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:34.652 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:35.635 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:36.641 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:37.645 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:38.649 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:39.673 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:40.658 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:41.661 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:42.669 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:43.664 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:44.667 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:45.701 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:46.684 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:47.673 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:48.710 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:49.714 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:50.734 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:51.712 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:52.724 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:53.724 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:54.708 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:55.713 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:56.748 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:57.740 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:58.753 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:41:59.747 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:00.740 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:01.776 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:02.773 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:03.769 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:04.787 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:05.809 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:06.794 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:07.767 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:08.780 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:09.813 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:10.821 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:11.791 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:12.792 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:13.823 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:14.841 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:15.837 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:16.821 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:17.852 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:18.830 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:19.861 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:20.865 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:21.861 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:22.870 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:23.861 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:24.885 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:25.893 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:26.884 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:27.886 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:28.867 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:29.906 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:30.884 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:31.895 -> 	32LFlow rate: 0L/min	Output Liquid Quantity: 32747mL
11:42:32.903 -> 	32L
