11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
20:06:20.544 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:21.532 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:22.549 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:23.555 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:24.548 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:25.548 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:26.563 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:27.572 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:28.599 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:29.566 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:30.573 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:31.586 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:32.574 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:33.596 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:34.588 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:35.620 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:36.604 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:37.641 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:38.612 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:39.619 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:40.655 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:41.629 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:42.662 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:43.634 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:44.682 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:45.641 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:46.654 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:47.677 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:48.677 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:49.680 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:50.683 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:51.662 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:52.680 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:53.688 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:54.705 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:55.716 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:56.728 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:57.709 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:58.728 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:06:59.740 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:00.704 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:01.734 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:02.729 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:03.728 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:04.734 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:05.740 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:06.733 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:07.756 -> 	2429LFlow rate: 0.00L/min	Output Liquid Quantity: 2429644mL
20:07:08.742 -> 	2429LFlow rate: 3.33L/min	Output Liquid Quantity: 2429699mL
20:07:09.761 -> 	2429LFlow rate: 9.32L/min	Output Liquid Quantity: 2429854mL
20:07:10.775 -> 	2429LFlow rate: 8.88L/min	Output Liquid Quantity: 2430002mL
20:07:11.769 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2430153mL
20:07:12.762 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2430304mL
20:07:13.784 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2430455mL
20:07:14.802 -> 	2430LFlow rate: 8.88L/min	Output Liquid Quantity: 2430603mL
20:07:15.775 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2430754mL
20:07:16.802 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2430905mL
20:07:17.828 -> 	2430LFlow rate: 9.10L/min	Output Liquid Quantity: 2431056mL
20:07:18.817 -> 	2431LFlow rate: 8.88L/min	Output Liquid Quantity: 2431204mL
20:07:19.801 -> 	2431LFlow rate: 9.10L/min	Output Liquid Quantity: 2431355mL
20:07:20.820 -> 	2431LFlow rate: 9.10L/min	Output Liquid Quantity: 2431506mL
20:07:21.828 -> 	2431LFlow rate: 8.88L/min	Output Liquid Quantity: 2431654mL
20:07:22.823 -> 	2431LFlow rate: 9.10L/min	Output Liquid Quantity: 2431805mL
20:07:23.856 -> 	2431LFlow rate: 9.10L/min	Output Liquid Quantity: 2431956mL
20:07:24.833 -> 	2431LFlow rate: 9.10L/min	Output Liquid Quantity: 2432107mL
20:07:25.824 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2432258mL
20:07:26.865 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2432409mL
20:07:27.874 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2432560mL
20:07:28.863 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2432711mL
20:07:29.877 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2432862mL
20:07:30.870 -> 	2432LFlow rate: 9.10L/min	Output Liquid Quantity: 2433013mL
20:07:31.883 -> 	2433LFlow rate: 9.10L/min	Output Liquid Quantity: 2433164mL
20:07:32.874 -> 	2433LFlow rate: 9.32L/min	Output Liquid Quantity: 2433319mL
20:07:33.867 -> 	2433LFlow rate: 9.10L/min	Output Liquid Quantity: 2433470mL
20:07:34.881 -> 	2433LFlow rate: 9.10L/min	Output Liquid Quantity: 2433621mL
20:07:35.892 -> 	2433LFlow rate: 8.88L/min	Output Liquid Quantity: 2433769mL
20:07:36.916 -> 	2433LFlow rate: 9.10L/min	Output Liquid Quantity: 2433920mL
20:07:37.919 -> 	2433LFlow rate: 9.10L/min	Output Liquid Quantity: 2434071mL
20:07:38.892 -> 	2434LFlow rate: 9.09L/min	Output Liquid Quantity: 2434222mL
20:07:39.904 -> 	2434LFlow rate: 9.10L/min	Output Liquid Quantity: 2434373mL
20:07:40.921 -> 	2434LFlow rate: 9.32L/min	Output Liquid Quantity: 2434528mL
20:07:41.945 -> 	2434LFlow rate: 9.10L/min	Output Liquid Quantity: 2434679mL
20:07:42.917 -> 	2434LFlow rate: 9.10L/min	Output Liquid Quantity: 2434830mL
20:07:43.953 -> 	2434LFlow rate: 8.88L/min	Output Liquid Quantity: 2434978mL
20:07:44.925 -> 	2434LFlow rate: 8.66L/min	Output Liquid Quantity: 2435122mL
20:07:45.936 -> 	2435LFlow rate: 2.66L/min	Output Liquid Quantity: 2435166mL
20:07:46.923 -> 	2435LFlow rate: 0.44L/min	Output Liquid Quantity: 2435173mL
20:07:47.934 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:48.936 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:49.974 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:50.963 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:51.953 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:52.967 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:53.961 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:54.977 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:56.004 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:57.008 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:58.014 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:07:58.986 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:00.005 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:01.020 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:02.029 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:03.033 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:04.003 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:05.039 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:06.025 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:07.028 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:08.040 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:09.058 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:10.039 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:11.048 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:12.043 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:13.056 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:14.057 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:15.089 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:16.076 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:17.069 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:18.100 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:19.078 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:20.082 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:21.106 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:22.096 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:23.097 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:24.115 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:25.139 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:26.123 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:27.149 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:28.150 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:29.146 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:30.163 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:31.153 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:32.170 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:33.162 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:34.188 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:35.175 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:36.163 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:37.158 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:38.196 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:39.175 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:40.197 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:41.204 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:42.220 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:43.216 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:44.220 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:45.226 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:46.221 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:47.208 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:48.229 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:49.227 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:50.236 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:51.269 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:52.232 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:53.249 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:54.257 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:55.275 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:56.294 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:57.266 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:58.300 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:08:59.289 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:00.300 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:01.276 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:02.294 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:03.299 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:04.332 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:05.304 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:06.338 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:07.319 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:08.342 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:09.335 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:10.330 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:11.352 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:12.328 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:13.343 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:14.348 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:15.357 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:16.379 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:17.377 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:18.355 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:19.390 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:20.386 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:21.375 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:22.400 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:23.416 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:24.426 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:25.418 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:26.393 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:27.405 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:28.417 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:29.424 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:30.420 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:31.440 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:32.434 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:33.428 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:34.439 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:35.438 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:36.471 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:37.450 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:38.460 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:39.455 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:40.462 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:41.486 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:42.484 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:43.508 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:44.488 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:45.517 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:46.505 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:47.499 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:48.513 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:49.524 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:50.547 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:51.527 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:52.553 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:53.542 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:54.556 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:55.536 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:56.563 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:57.568 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:58.554 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:09:59.576 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:00.596 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:01.593 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:02.579 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:03.566 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:04.593 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:05.605 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:06.619 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:07.629 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:08.606 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:09.638 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:10.641 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:11.622 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:12.611 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:13.651 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:14.637 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:15.653 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:16.630 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:17.654 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:18.682 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:19.677 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:20.656 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:21.696 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:22.683 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:23.701 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:24.705 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:25.680 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:26.679 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:27.691 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:28.732 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:29.720 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:30.739 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:31.712 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:32.730 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:33.740 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:34.734 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:35.757 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:36.767 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:37.767 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:38.774 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:39.745 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:40.765 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:41.785 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:42.783 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:43.796 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:44.779 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:45.800 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:46.793 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:47.777 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:48.791 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:49.795 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:50.830 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:51.827 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:52.822 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:53.811 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:54.835 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:55.840 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:56.832 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:57.860 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:58.867 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:10:59.836 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:00.866 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:01.872 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:02.853 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:03.872 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:04.879 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:05.892 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:06.872 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:07.905 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:08.883 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:09.900 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:10.920 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:11.889 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:12.925 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:13.939 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:14.932 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:15.943 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:16.921 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
20:11:17.952 -> 	2435LFlow rate: 0.00L/min	Output Liquid Quantity: 2435173mL
